List,Title,Status
Camper Packliste,Documentacion personal y vehiculo,Not started
Camper Packliste,Llaves de repuesto,Not started
Camper Packliste,Ropa por capas,Not started
Camper Packliste,Neceser y botiquin,Not started
Camper Packliste,Comida base y agua,Not started
Camper Packliste,"Cocina: gas/placa, mechero, cafe, utensilios",Not started
Camper Packliste,Cables y cargadores,Not started
Camper Packliste,cables usb c,Not started
Camper Packliste,cables usb multi,Not started
Camper Packliste,powerbank 1,Not started
Camper Packliste,powerbank 2,Not started
Camper Packliste,Herramientas basicas,Not started
Camper Packliste,Sillas/mesa exterior,Not started
Camper Packliste,Ropa de cama o sacos,Not started
Camper Packliste,Toallas,Not started
Camper Packliste,Bolsas basura y limpieza,Not started
Camper Packliste,Presion de neumaticos,Not started
Camper Packliste,Nivel de aceite y liquidos,Not started
Camper Packliste,Luces,Not started
Camper Packliste,Bateria / powerbank / sistema electrico,Not started
Camper Packliste,Agua limpia y vaciado,Not started
Camper Packliste,Nevera o conservacion comida,Not started
Camper Packliste,"Seguro, ITV/TUV y asistencia en carretera",Not started
Camper Packliste,Revisar sugerencias por clima/ruta/duracion,Not started
